,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30
operatingCashflow,89035000000,76740000000,60675000000,52185000000,43884000000
paymentsForOperatingActivities,2797000000,2438000000,2165000000,1917000000,1697000000
proceedsFromOperatingActivities,None,None,None,None,None
changeInOperatingLiabilities,11917000000,10673000000,4293000000,9633000000,26031000000
changeInOperatingAssets,11471000000,11609000000,5776000000,5767000000,5564000000
depreciationDepletionAndAmortization,15580000000,11821000000,12911000000,11600000000,9900000000
capitalExpenditures,23886000000,20622000000,15441000000,13925000000,11632000000
changeInReceivables,6834000000,6481000000,2577000000,2812000000,3862000000
changeInInventory,1123000000,737000000,-168000000,-597000000,465000000
profitLoss,72738000000,61271000000,44281000000,39240000000,16571000000
cashflowFromInvestment,-30311000000,-27577000000,-12223000000,-15773000000,-6061000000
cashflowFromFinancing,-58876000000,-48486000000,-46031000000,-36887000000,-33590000000
proceedsFromRepaymentsOfShortTermDebt,None,None,0,0,-7324000000
paymentsForRepurchaseOfCommonStock,32696000000,27385000000,22968000000,19543000000,10721000000
paymentsForRepurchaseOfEquity,32696000000,27385000000,22968000000,19543000000,10721000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None
dividendPayout,18135000000,16521000000,15137000000,13811000000,12699000000
dividendPayoutCommonStock,18135000000,16521000000,15137000000,13811000000,12699000000
dividendPayoutPreferredStock,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,1841000000,1693000000,1343000000,1142000000,1002000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,None,None,None,None
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-30855000000,-25692000000,-21625000000,-18401000000,-9719000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None
changeInCashAndCashEquivalents,-152000000,648000000,2220000000,-590000000,4283000000
changeInExchangeRate,None,-29000000,-201000000,-115000000,50000000
netIncome,72738000000,61271000000,44281000000,39240000000,16571000000
